accounted_h100_bf16_mfu,ar_accounted_h100_bf16_mfu,ar_attention_backend,ar_compute_accounting,ar_duration_seconds,ar_learning_rate,ar_steps,batch_size,bd_accounted_h100_bf16_mfu,bd_attention_backend,bd_duration_seconds,bd_learning_rate,bd_steps,block_diffusion_training_flops_per_clean_token,block_len,budget,clean_tokens,comparison_mode,compiled,d_ff,d_model,decay_fraction_per_phase,device,duration_seconds,effective_train_epochs,evaluation_duration_seconds,flash_causal_training_flops_per_clean_token,gpu,head_dim,last_ar_train_ce,last_bd_train_nelbo,n_head,n_layer,n_params,nominal_bd_budget,nominal_compute_accounting,nominal_pure_bd_flops,objective,optimizer_reset_at_transition,p_ar,realized_flops,realized_to_nominal_compute,result_path,seed,sequence_length,size,status,total_steps,train_dataset_tokens,val_masked_ce_t0.5,val_nelbo,wandb_run_id,wandb_url,warmup_fraction_per_phase,weight_decay
0.003674269457006826,0.0024267102607148355,flash,triangular_flash_causal_v2,11.498127203434706,0.0081,630,128,0.004812122215339578,cudnn,12.606722818687558,0.0081,946,1935504,4,100000000000000.0,51642368,matched_pure_bd_steps_tokens,True,64,24,0.15,cuda:1,27.601814853027463,0.008940776837614964,3.4960305709391832,1336752,NVIDIA H100 80GB HBM3,24,5.346751689910889,5.652337551116943,1,2,210576,100000000000000.0,dense_dual_stream_attention_v1,99954009833472,ar_to_bd,True,0.4,87593469345792,0.8763377226359079,results_matched_p_ar_0p4/runs/1e14/0.21M/ar_8.1e-3_bd_8.1e-3/result.json,1337,256,0.21M,complete,1576,5776049323,5.7118557542562485,5.691059648990631,x20zuk7s,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/x20zuk7s,0.05,0.1
0.004123274140656428,0.002648574027545979,flash,triangular_flash_causal_v2,10.463269585743546,0.0081,459,128,0.005530322652483643,cudnn,10.966348858550191,0.0081,688,2660544,4,100000000000000.0,37584896,matched_pure_bd_steps_tokens,True,88,32,0.15,cuda:3,25.13718389905989,0.006507024766969774,3.7066646553575993,1822272,NVIDIA H100 80GB HBM3,16,5.763698101043701,5.588444232940674,2,2,287424,100000000000000.0,dense_dual_stream_attention_v1,99996269543424,ar_to_bd,True,0.4,87388229468160,0.8739148956972952,results_matched_p_ar_0p4/runs/1e14/0.29M/ar_8.1e-3_bd_8.1e-3/result.json,1337,256,0.29M,complete,1147,5776049323,5.603916555643082,5.583093553781509,5khptcz1,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/5khptcz1,0.05,0.1
0.00909385082734987,0.004588859868561034,flash,triangular_flash_causal_v2,4.0078271590173244,0.0081,227,128,0.012953332741469186,cudnn,4.678147356957197,0.0081,340,5379264,4,100000000000000.0,18579456,matched_pure_bd_steps_tokens,True,88,32,0.15,cuda:1,10.072779843583703,0.0032166373521114754,1.385645892471075,2445312,NVIDIA H100 80GB HBM3,16,5.647489070892334,5.887598037719727,2,7,350464,100000000000000.0,dense_dual_stream_attention_v1,99943798800384,ar_to_bd,True,0.4,78120078016512,0.7816400712618485,results_matched_p_ar_0p4/runs/1e14/0.35M/ar_8.1e-3_bd_8.1e-3/result.json,1337,256,0.35M,complete,567,5776049323,5.867111876606941,5.871477514505386,lars6ul3,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/lars6ul3,0.05,0.1
0.00529400291034163,0.003574066289431956,flash,triangular_flash_causal_v2,7.633336229249835,0.0027,290,128,0.006754680836503984,cudnn,8.988192595541477,0.0027,436,4202784,4,100000000000000.0,23789568,matched_pure_bd_steps_tokens,True,128,48,0.15,cuda:3,20.02550558000803,0.00411865735032263,3.402970990166068,2839392,NVIDIA H100 80GB HBM3,16,5.641569137573242,5.667038440704346,3,2,448800,100000000000000.0,dense_dual_stream_attention_v1,99982415757312,ar_to_bd,True,0.4,87026483331072,0.8704178897048455,results_matched_p_ar_0p4/runs/1e14/0.45M/ar_2.7e-3_bd_2.7e-3/result.json,1337,256,0.45M,complete,726,5776049323,5.670534580945969,5.653150841593742,wo27lebs,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/wo27lebs,0.05,0.1
0.017229730597010096,0.012355636870434006,flash,triangular_flash_causal_v2,17.970420856028795,0.0027,2019,128,0.020137665962506334,cudnn,30.120860524475574,0.0027,3028,6045984,4,1000000000000000.0,165380096,matched_pure_bd_steps_tokens,True,128,48,0.15,cuda:1,49.10712075047195,0.02863204359101696,1.0143970157951117,3319200,NVIDIA H100 80GB HBM3,16,4.716256618499756,5.388542175292969,3,4,504288,1000000000000000.0,dense_dual_stream_attention_v1,999885414334464,ar_to_bd,True,0.4,819485224206336,0.81957913622712,results_matched_p_ar_0p4/runs/1e15/0.5M/ar_2.7e-03_bd_2.7e-03/result.json,1337,256,0.5M,complete,5047,5776049323,5.104202181100845,5.097195640206337,310v7def,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/310v7def,0.05,0.1
0.022522931421694238,0.016437467245695316,flash,triangular_flash_causal_v2,13.419016441330314,0.0027,1403,128,0.026027306784776553,cudnn,23.302567610517144,0.0027,2104,8700288,4,1000000000000000.0,114917376,matched_pure_bd_steps_tokens,True,176,64,0.15,cuda:3,37.73615926131606,0.019895497696393198,1.0133653655648232,4745088,NVIDIA H100 80GB HBM3,16,4.781983852386475,5.058012962341309,4,4,725632,1000000000000000.0,dense_dual_stream_attention_v1,999814267404288,ar_to_bd,True,0.4,817979864383488,0.8181318181297038,results_matched_p_ar_0p4/runs/1e15/0.73M/ar_2.7e-03_bd_2.7e-03/result.json,1337,256,0.73M,complete,3507,5776049323,4.993614837527275,4.978829562664032,ag8dsk0q,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/ag8dsk0q,0.05,0.1
0.01945672234364136,0.019895001622791283,flash,triangular_flash_causal_v2,9.449770998209715,0.0027,705,128,0.019324763658267484,cudnn,31.38587512820959,0.0027,1057,17318880,4,1000000000000000.0,57737216,matched_pure_bd_steps_tokens,True,216,80,0.15,cuda:3,42.28636206872761,0.009995970043069523,1.4491117745637894,8048640,NVIDIA H100 80GB HBM3,16,4.886966228485107,5.0356645584106445,5,7,1198720,1000000000000000.0,dense_dual_stream_attention_v1,999943915438080,ar_to_bd,True,0.4,785788022292480,0.7858320953412898,results_matched_p_ar_0p4/runs/1e15/1.20M/ar_2.7e-03_bd_2.7e-03/result.json,1337,256,1.20M,complete,1762,5776049323,5.084560409188271,5.0945481061935425,n4mo4ijg,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/n4mo4ijg,0.05,0.1
0.02091763891857041,0.02003699417482808,flash,triangular_flash_causal_v2,10.953226981684566,0.0027,1054,128,0.021255804252994198,cudnn,28.524218145757914,0.0027,1580,11581920,4,1000000000000000.0,86310912,matched_pure_bd_steps_tokens,True,216,80,0.15,cuda:1,45.7469259314239,0.014942897328856484,6.268230712041259,6284640,NVIDIA H100 80GB HBM3,16,4.74713659286499,5.066868782043457,5,4,965920,1000000000000000.0,dense_dual_stream_attention_v1,999646077911040,ar_to_bd,True,0.4,816691418234880,0.8169805657033334,results_matched_p_ar_0p4/runs/1e15/1M/ar_2.7e-03_bd_2.7e-03/result.json,1337,256,1M,complete,2634,5776049323,4.983855068683624,4.971415624022484,t6dzmyqj,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/t6dzmyqj,0.05,0.1
0.011963916091958076,0.006958353746552261,flash,triangular_flash_causal_v2,7.917541194707155,0.0081,680,128,0.015295047766241663,cudnn,11.897382015362382,0.0081,1021,5379264,4,300000000000000.0,55738368,matched_pure_bd_steps_tokens,True,88,32,0.15,cuda:1,21.189252465963364,0.009649912056334427,1.3728853836655617,2445312,NVIDIA H100 80GB HBM3,16,5.107834815979004,5.285859107971191,2,7,350464,300000000000000.0,dense_dual_stream_attention_v1,299831396401152,ar_to_bd,True,0.4,234456373788672,0.7819607172658692,results_matched_p_ar_0p4/runs/3e14/0.35M/ar_8.1e-03_bd_8.1e-03/result.json,1337,256,0.35M,complete,1701,5776049323,5.448157861828804,5.426915034651756,ulkorula,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/ulkorula,0.05,0.1
0.013843222232868517,0.010493297208708974,flash,triangular_flash_causal_v2,7.808815807104111,0.0027,871,128,0.016166930081372672,cudnn,11.257416674867272,0.0027,1307,4202784,4,300000000000000.0,71368704,matched_pure_bd_steps_tokens,True,128,48,0.15,cuda:3,19.873458832502365,0.01235597205096789,0.8062447551637888,2839392,NVIDIA H100 80GB HBM3,16,4.87114143371582,5.393467426300049,3,2,448800,300000000000000.0,dense_dual_stream_attention_v1,299947247271936,ar_to_bd,True,0.4,261034774364160,0.8702689447504832,results_matched_p_ar_0p4/runs/3e14/0.45M/ar_2.7e-03_bd_2.7e-03/result.json,1337,256,0.45M,complete,2178,5776049323,5.307162135839462,5.289095103740692,auke3qps,https://wandb.ai/y38283929-uc-berkeley-electrical-engineering-computer-sc/climbmix-isoflop-scaleup/runs/auke3qps,0.05,0.1
